[2019-01-12 00:21:51] slim-app.INFO: IP => 127.0.0.1 : METHOD => POST : ACTION => login/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15 [] {"uid":"dcbefca"}
[2019-01-12 00:21:51] slim-app.INFO: Array [] {"uid":"dcbefca"}
[2019-01-12 00:21:51] slim-app.INFO: Find by username : test@dpo.go.th Password : P@ssw0rd [] {"uid":"dcbefca"}
[2019-01-12 00:21:51] slim-app.INFO: {"UserID":1548,"GroupID":234,"RegionID":1,"PositionID":4,"Username":"test@dpo.go.th","Password":"P@ssw0rd","FirstName":"\u0e01\u0e23\u0e1e\u0e08\u0e19\u0e4c","LastName":"\u0e2d\u0e38\u0e42\u0e06\u0e29\u0e01\u0e34\u0e08","Email":"testuser@dpo.go.th","Mobile":"0875162799","Tel":"08597548461","Fax":"0211114441","Picture":null,"CreateBy":1,"CreateDateTime":"1914-11-17 17:50:18","UpdateBy":1,"UpdateDateTime":"1914-11-17 17:50:18","InternalContact":"022225556","PositionName":"\u0e19\u0e31\u0e01\u0e1a\u0e23\u0e34\u0e2b\u0e32\u0e23","IsHeader":null,"IsConsult":null,"IsActing":null,"Rank":"6","SegID":"","Org":"\u0e41\u0e1c\u0e19\u0e01\u0e1e\u0e31\u0e12\u0e19\u0e32\u0e23\u0e30\u0e1a\u0e1a\u0e2a\u0e32\u0e23\u0e2a\u0e19\u0e40\u0e17\u0e28","OrgID":"204","StaffID":"123465789","DataID":null,"LoginSession":"MTU0ODo6MjAxOTAxMTEyMzIyMzU6OlBPSVNVVERCUEZVRklVU0hLTk1FUFJKVlJDTUs=","PinID":1234,"RegionName":"\u0e2d.\u0e2a.\u0e04. \u0e2a\u0e33\u0e19\u0e31\u0e01\u0e07\u0e32\u0e19\u0e43\u0e2b\u0e0d\u0e48 \u0e21\u0e27\u0e01\u0e40\u0e2b\u0e25\u0e47\u0e01","OrgName":"\u0e41\u0e1c\u0e19\u0e01\u0e1e\u0e31\u0e12\u0e19\u0e32\u0e23\u0e30\u0e1a\u0e1a\u0e2a\u0e32\u0e23\u0e2a\u0e19\u0e40\u0e17\u0e28","UpperOrgName":"\u0e01\u0e2d\u0e07\u0e40\u0e17\u0e04\u0e42\u0e19\u0e42\u0e25\u0e22\u0e35\u0e2a\u0e32\u0e23\u0e2a\u0e19\u0e40\u0e17\u0e28"} [] {"uid":"dcbefca"}
[2019-01-12 00:21:52] slim-app.INFO: IP => 127.0.0.1 : METHOD => GET : ACTION => getNewsFeed/1 : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15 [] {"uid":"d9a9157"}
[2019-01-12 00:21:52] slim-app.INFO: IP => 127.0.0.1 : METHOD => GET : ACTION => getRoomReserveDetail/1/2019-01-12 : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15 [] {"uid":"dfef9e2"}
[2019-01-12 00:21:53] slim-app.INFO: IP => 127.0.0.1 : METHOD => GET : ACTION => getHomePageCalendar/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15 [] {"uid":"ef8b44c"}
[2019-01-12 00:21:53] slim-app.INFO: IP => 127.0.0.1 : METHOD => GET : ACTION => leaves/notification/get/testuser@dpo.go.th : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15 [] {"uid":"1b13476"}
[2019-01-12 00:21:56] slim-app.INFO: IP => 127.0.0.1 : METHOD => GET : ACTION => allRegion/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15 [] {"uid":"a6deee0"}
[2019-01-12 00:21:57] slim-app.INFO: IP => 127.0.0.1 : METHOD => GET : ACTION => leaves/notification/get/testuser@dpo.go.th : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15 [] {"uid":"da24c46"}
[2019-01-12 00:21:57] slim-app.INFO: IP => 127.0.0.1 : METHOD => GET : ACTION => getRoomReserveDetail/1/2019-01-12 : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15 [] {"uid":"be4bb06"}
